"country","people_vaccinated_per_hundred","people_vaccinated","days.to.start_rel","days.to.start_abs","daily.vac.per.mil_6moavg","daily.vac.per.mil_max","daily.vac_max","VSI"
"Curacao",9.35,15406,117,117.791666666667,4734.16666666667,11687,1926,3.66528320086633
"Cyprus",0.44,3901,35,35.7916666666667,5350.5,10888,9756,0.900278983540804
"Denmark",0,1,6,6.79166666666667,3771.5,10393,60419,0.630504969149763
"Dominican Republic",0,0,75,75.7916666666667,4337,6632,72643,0.149778824426865
"Ecuador",0,17,49,49.7916666666667,1740.66666666667,14369,257032,-0.18995504685303
"El Salvador",0,0,77,77.7916666666667,3976.16666666667,10293,67094,0.0533993509048854
"Estonia",0.01,191,25,25.7916666666667,3406.66666666667,6693,8869,0.388421167266293
"Faeroe Islands",8.14,3993,58,58.7916666666667,3710.16666666667,8603,422,3.46689995554382
"Fiji",0,0,105,105.791666666667,6268.16666666667,15809,14274,0.309102263681789
"Finland",0,67,32,32.7916666666667,4211.2,8396,46585,0.498889829684194
"France",0,593,25,25.7916666666667,3546.5,9276,625388,0.414922352335255
"French Polynesia",0.75,2133,62,62.7916666666667,3039,11199,3164,0.28448423600379
"Germany",0.03,24357,25,25.7916666666667,4093.33333333333,9144,767205,0.546618472880866
"Gibraltar",1.25,420,39,39.7916666666667,12787.8333333333,27248,918,2.8196318229464
"Greece",0,447,26,26.7916666666667,3186.83333333333,8997,93304,0.327556132084817
"Greenland",4.54,2584,56,56.7916666666667,6253,17708,1007,2.57840010195488
"Guyana",0,0,71,71.7916666666667,2635.83333333333,6224,4919,-0.186991322426053
"Honduras",0.03,2684,88,88.7916666666667,1613.33333333333,8032,80830,-0.547175799920094
"Iceland",1.32,4875,28,28.7916666666667,4419.83333333333,15209,5609,1.11550456706913
"India",0,0,44,44.7916666666667,1495.66666666667,6526,9093383,-0.199710358971947
"Indonesia",0,0,41,41.7916666666667,1191.83333333333,6437,1779018,-0.23984069265294
"Iran",0,0,68,68.7916666666667,1060.83333333333,11679,993037,-0.5049450308853
"Ireland",0,202,26,26.7916666666667,4012.5,10715,53392,0.508012012332815
"Israel",0,66,17,17.7916666666667,7142.83333333333,16103,149610,1.27099516387243
"Italy",0.01,7349,25,25.7916666666667,3852.16666666667,9169,553498,0.48578866179655
"Japan",0,125,77,77.7916666666667,4580.66666666667,10535,1327979,0.185517533718669
"Kazakhstan",0,0,60,60.7916666666667,2173.16666666667,6391,121396,-0.191769764607737
"Kiribati",0,0,181,181.791666666667,4323,10677,1296,-0.781657518278543
"Kuwait",3.17,137000,75,75.7916666666667,2318,8365,36209,0.995682476312937
"Lao PDR",0.55,40732,105,105.791666666667,3587.83333333333,6607,48754,-0.0533791186041868
"Latvia",0,1,2,2.79166666666667,2895.83333333333,9125,17035,0.474154276246851
"Liechtenstein",0,0,19,19.7916666666667,4715.8,10273,393,0.72303158889497
"Lithuania",0.09,2417,25,25.7916666666667,3895.5,7887,21216,0.527743330838921
"Luxembourg",0.07,452,26,26.7916666666667,3070.33333333333,10792,6851,0.330517502408121
"Malaysia",0,63,84,84.7916666666667,4645.33333333333,16784,550125,0.138343053039985
"Maldives",0.16,880,62,62.7916666666667,4824.83333333333,9711,5279,0.435223761189095
"Malta",2.27,11705,46,46.7916666666667,7170.33333333333,11558,5965,1.94474441730623
"Mauritius",0,0,54,54.7916666666667,3611.8,8489,10810,0.175204369505623
"Mexico",0,2924,22,22.7916666666667,1639.33333333333,11849,1543520,0.0243710319797102
